SMILES,MTase IC50 (micromolar),Delta Tm - SAH/nsp14 (degrees Celsius),Cell EC50 (micromolar)
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cnccc2Cl)n1C,1.04,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc(C(=O)O)c2)n1C,0.461,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2nccc3ccccc23)n1C,125,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)N2Cc3ccccc3C2)n1C,2.27,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC(C)(C)C)n1C,10.7,,
Cc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)c1C,0.091,,
COc1ccnc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)c1,0.972,,
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)cn1,0.679,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCC2CCCCO2)n1C,4.48,,
"Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)N[C@H]2COCC[C@@H]2O)n1C |a:21,26|",125,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2nc(C3CC3)no2)n1C,2.68,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC(C)(C)c2cccnc2)n1C,10.9,,
Cc1cc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)nn1C,3.43,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCC2CCCCC2C)n1C,0.37,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cncs2)n1C,0.479,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cnc3ccccn23)n1C,0.219,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCC2(O)CCCC2)n1C,6.41,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)N2CCCC2(C)C)n1C,125,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)N(C)CCc2ccccc2)n1C,125,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCCn2cncn2)n1C,0.375,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccncc2O)n1C,0.592,,
CCn1cc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)cn1,2.36,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cccc[n+]2[O-])n1C,7.19,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)N2CCc3c(F)cccc32)n1C,125,,
CCn1c(C(=O)NCc2cnn3ccccc23)cc(S(=O)(=O)N2CCc3ccccc3C2)c1C,0.0802,9.9,7.77
CCn1c(C(=O)NCc2cnn3ccccc23)cc(S(=O)(=O)N2CCC(C)CC2)c1C,0.51,,
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.0844,,
CCOc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1CC,0.554,,
CCn1c(C(=O)NCc2cnn3ccccc23)cc(S(=O)(=O)N2CCCCC2)c1C,7.39,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)s1,0.0283,6.35,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)s1,0.575,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)[nH]1,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)[nH]1,0.896,0.25,
CCOc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.103,9.1,10.54
CCOc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1C,27.8,,
CCOc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1CC,7.82,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2C2CC2)n1C,0.274,,
